Cinsiyet,Beden_Turu,Boy,Gogus_Genisligi_cm,Bel_Genisligi_cm,Basen_Genisligi_cm,Ic_Bacak_cm
Erkek,XS,,92,82,96,78
Erkek,S,,96,86,100,82
Erkek,M,,100,90,104,84
Erkek,L,,104,94,108,87
Erkek,XL,,108,98,112,87
Erkek,XXL,,112,102,116,87
Erkek,XXXL,,116,106,120,90
