Cinsiyet,Beden_Turu,Boy,Gogus_Genisligi_cm,Bel_Genisligi_cm,Basen_Genisligi_cm,Ic_Bacak_cm
Kadın,XS,,82,64,90,77
Kadın,S,,86,68,94,77
Kadın,M,,90,72,98,77
Kadın,L,,94,76,102,77
Kadın,XL,,99,81,107,77
Kadın,XXL,,104,86,112,77
Kadın,XXXL,,109,91,117,77
