Cinsiyet,Beden_Turu,Boy,Gogus_Genisligi_cm,Bel_Genisligi_cm,Basen_Genisligi_cm,Ic_Bacak_cm
Bebek,0-3,62,43,43,42,24
Bebek,3-6,68,45,45,45,24
Bebek,6-9,75,47,47,48,24
Bebek,9-12,80,51,50,52,24
Bebek,12-18,86,53,50,53,28
Bebek,18-24,92,54,51,55,31
Bebek,24-36,98,55,53,57,41
